Date,Open,Close,High,Low
2001- 01- 22,"2,639.61","2,643.13","2,683.12","2,598.85"
2001- 01- 23,"2,642.33","2,730.05","2,738.81","2,618.72"
2001- 01- 24,"2,732.92","2,726.45","2,771.63","2,692.81"
2001- 01- 25,"2,687.05","2,595.85","2,710.22","2,595.47"
2001- 01- 26,"2,538.28","2,631.78","2,635.22","2,526.55"
2001- 01- 29,"2,601.67","2,694.53","2,696.73","2,578.84"
2001- 01- 30,"2,701.34","2,686.14","2,716.41","2,661.74"
2001- 01- 31,"2,695.03","2,593.00","2,718.51","2,591.92"
2001- 02- 01,"2,586.24","2,607.16","2,627.39","2,554.94"
2001- 02- 02,"2,605.64","2,472.18","2,616.40","2,471.51"
2001- 02- 05,"2,447.72","2,467.30","2,483.58","2,409.20"
2001- 02- 06,"2,463.50","2,473.24","2,531.05","2,456.89"
2001- 02- 07,"2,421.64","2,409.66","2,446.66","2,349.92"
2001- 02- 08,"2,436.48","2,355.67","2,464.19","2,355.15"
2001- 02- 09,"2,333.01","2,261.77","2,342.42","2,247.52"
2001- 02- 12,"2,247.20","2,286.85","2,319.90","2,229.23"
2001- 02- 13,"2,315.46","2,208.40","2,367.91","2,208.01"
2001- 02- 14,"2,224.35","2,305.82","2,307.27","2,173.42"
2001- 02- 15,"2,360.56","2,371.04","2,423.65","2,355.92"
2001- 02- 16,"2,228.77","2,212.51","2,266.36","2,187.31"
2001- 02- 20,"2,229.91","2,095.11","2,235.74","2,094.58"
2001- 02- 21,"2,056.15","2,058.54","2,164.25","2,044.74"
2001- 02- 22,"2,058.56","2,032.42","2,088.60","1,958.88"
2001- 02- 23,"1,997.55","2,056.06","2,061.45","1,935.21"
2001- 02- 26,"2,088.03","2,097.64","2,103.63","2,020.32"
2001- 02- 27,"2,067.15","1,964.52","2,081.79","1,963.63"
2001- 02- 28,"1,983.35","1,908.32","2,010.32","1,880.47"
2001- 03- 01,"1,879.84","1,968.02","1,968.74","1,837.85"
2001- 03- 02,"1,886.04","1,881.34","1,988.35","1,866.13"
2001- 03- 05,"1,908.62","1,916.68","1,936.02","1,892.02"
2001- 03- 06,"1,983.28","1,976.31","2,029.01","1,973.87"
2001- 03- 07,"2,018.94","1,996.23","2,018.94","1,965.91"
2001- 03- 08,"1,982.44","1,938.15","1,993.50","1,933.23"
2001- 03- 09,"1,892.79","1,813.02","1,892.79","1,802.91"
2001- 03- 12,"1,758.06","1,680.64","1,762.20","1,679.73"
2001- 03- 13,"1,711.99","1,789.70","1,790.31","1,691.22"
2001- 03- 14,"1,711.06","1,745.08","1,808.85","1,700.85"
2001- 03- 15,"1,809.50","1,697.92","1,813.68","1,697.61"
2001- 03- 16,"1,656.78","1,647.51","1,693.60","1,627.80"
2001- 03- 19,"1,659.70","1,730.46","1,732.92","1,632.48"
2001- 03- 20,"1,742.99","1,614.47","1,749.29","1,614.41"
2001- 03- 21,"1,624.31","1,605.04","1,674.31","1,594.39"
2001- 03- 22,"1,624.81","1,701.90","1,703.28","1,582.48"
2001- 03- 23,"1,743.96","1,705.02","1,754.65","1,666.82"
2001- 03- 26,"1,735.53","1,676.90","1,736.88","1,667.80"
2001- 03- 27,"1,680.73","1,735.70","1,751.14","1,664.66"
2001- 03- 28,"1,677.63","1,602.22","1,687.92","1,600.37"
2001- 03- 29,"1,578.99","1,563.14","1,626.88","1,543.39"
2001- 03- 30,"1,573.82","1,573.25","1,600.88","1,530.14"
2001- 04- 02,"1,569.66","1,516.58","1,594.36","1,499.30"
2001- 04- 03,"1,487.87","1,399.05","1,493.11","1,390.10"
2001- 04- 04,"1,392.03","1,370.75","1,435.36","1,348.52"
2001- 04- 05,"1,452.04","1,519.05","1,521.76","1,434.01"
2001- 04- 06,"1,483.96","1,448.16","1,485.37","1,425.89"
2001- 04- 09,"1,472.81","1,481.22","1,495.76","1,437.85"
2001- 04- 10,"1,515.58","1,597.87","1,620.74","1,515.58"
2001- 04- 11,"1,694.60","1,647.36","1,703.89","1,624.80"
2001- 04- 12,"1,617.95","1,714.29","1,714.69","1,605.61"
2001- 04- 16,"1,682.17","1,650.21","1,700.39","1,630.31"
2001- 04- 17,"1,605.54","1,671.51","1,694.22","1,603.99"
2001- 04- 18,"1,760.05","1,830.79","1,892.85","1,739.16"
2001- 04- 19,"1,854.20","1,953.28","1,953.57","1,829.98"
2001- 04- 20,"1,933.61","1,933.57","1,981.90","1,901.40"
2001- 04- 23,"1,881.52","1,811.89","1,881.54","1,802.82"
2001- 04- 24,"1,809.47","1,762.21","1,860.08","1,756.30"
2001- 04- 25,"1,758.07","1,814.33","1,824.88","1,743.45"
2001- 04- 26,"1,839.40","1,763.33","1,844.57","1,761.67"
2001- 04- 27,"1,808.92","1,810.47","1,822.44","1,777.19"
2001- 04- 30,"1,855.90","1,855.15","1,906.90","1,826.12"
2001- 05- 01,"1,854.67","1,919.01","1,919.45","1,822.86"
2001- 05- 02,"1,958.17","1,962.42","1,980.13","1,916.73"
2001- 05- 03,"1,913.93","1,877.80","1,919.62","1,853.84"
2001- 05- 04,"1,820.57","1,923.81","1,930.03","1,810.86"
2001- 05- 07,"1,924.68","1,895.41","1,948.02","1,889.80"
2001- 05- 08,"1,939.02","1,929.24","1,939.66","1,887.23"
2001- 05- 09,"1,885.00","1,876.87","1,921.87","1,862.06"
2001- 05- 10,"1,926.47","1,838.32","1,926.95","1,838.02"
2001- 05- 11,"1,842.65","1,821.20","1,861.52","1,810.89"
2001- 05- 14,"1,819.39","1,795.06","1,820.51","1,769.33"
2001- 05- 15,"1,801.46","1,796.81","1,853.05","1,790.51"
2001- 05- 16,"1,778.71","1,899.47","1,904.25","1,768.62"
2001- 05- 17,"1,900.84","1,925.14","1,955.77","1,898.65"
2001- 05- 18,"1,910.71","1,927.69","1,940.76","1,898.28"
2001- 05- 21,"1,931.29","2,052.57","2,052.67","1,927.04"
2001- 05- 22,"2,062.90","2,042.93","2,070.61","2,023.07"
2001- 05- 23,"2,022.16","1,957.56","2,022.16","1,957.44"
2001- 05- 24,"1,965.44","2,003.37","2,003.71","1,937.67"
2001- 05- 25,"2,000.12","1,960.74","2,003.68","1,953.24"
2001- 05- 29,"1,946.57","1,873.53","1,946.57","1,865.18"
2001- 05- 30,"1,823.84","1,779.00","1,837.01","1,768.98"
2001- 05- 31,"1,785.25","1,799.89","1,838.29","1,784.72"
2001- 06- 01,"1,826.02","1,840.83","1,852.08","1,785.44"
2001- 06- 04,"1,861.12","1,838.84","1,869.98","1,819.08"
2001- 06- 05,"1,853.65","1,923.90","1,937.94","1,853.47"
2001- 06- 06,"1,931.45","1,903.84","1,945.94","1,890.51"
2001- 06- 07,"1,892.98","1,963.31","1,963.83","1,891.01"
2001- 06- 08,"1,959.71","1,896.22","1,959.71","1,885.84"
2001- 06- 11,"1,885.17","1,846.50","1,885.17","1,826.28"
2001- 06- 12,"1,799.58","1,852.03","1,871.03","1,776.41"
2001- 06- 13,"1,860.05","1,790.21","1,875.29","1,789.91"
2001- 06- 14,"1,766.41","1,711.39","1,776.35","1,711.32"
2001- 06- 15,"1,679.33","1,701.53","1,725.77","1,657.65"
2001- 06- 18,"1,712.04","1,666.49","1,729.39","1,662.59"
2001- 06- 19,"1,736.29","1,675.90","1,745.76","1,656.74"
2001- 06- 20,"1,655.26","1,721.56","1,722.85","1,655.26"
2001- 06- 21,"1,714.00","1,751.22","1,774.25","1,697.56"
2001- 06- 22,"1,755.57","1,727.47","1,773.26","1,718.35"
2001- 06- 25,"1,752.71","1,743.90","1,755.67","1,713.03"
2001- 06- 26,"1,708.89","1,751.62","1,757.93","1,705.93"
2001- 06- 27,"1,755.25","1,756.02","1,769.55","1,726.78"
2001- 06- 28,"1,782.32","1,808.94","1,847.38","1,782.32"
2001- 06- 29,"1,812.17","1,830.19","1,865.36","1,795.45"
2001- 07- 02,"1,831.42","1,827.07","1,864.20","1,815.11"
2001- 07- 03,"1,817.71","1,822.16","1,832.01","1,798.44"
2001- 07- 05,"1,800.63","1,751.00","1,812.26","1,750.51"
2001- 07- 06,"1,728.57","1,668.59","1,729.57","1,666.62"
2001- 07- 09,"1,680.88","1,697.05","1,712.08","1,669.23"
2001- 07- 10,"1,718.81","1,624.95","1,719.32","1,624.80"
2001- 07- 11,"1,617.51","1,641.56","1,646.83","1,600.19"
2001- 07- 12,"1,708.32","1,750.13","1,757.29","1,700.41"
2001- 07- 13,"1,741.36","1,751.11","1,782.52","1,723.08"
2001- 07- 16,"1,743.09","1,685.74","1,758.93","1,682.70"
2001- 07- 17,"1,675.06","1,729.55","1,729.63","1,667.48"
2001- 07- 18,"1,692.16","1,666.87","1,716.16","1,652.00"
2001- 07- 19,"1,700.56","1,695.89","1,739.13","1,674.57"
2001- 07- 20,"1,662.38","1,676.46","1,690.18","1,659.98"
2001- 07- 23,"1,695.20","1,629.93","1,699.44","1,629.74"
2001- 07- 24,"1,618.74","1,604.86","1,639.56","1,580.57"
2001- 07- 25,"1,609.37","1,627.86","1,632.89","1,581.67"
2001- 07- 26,"1,624.22","1,673.39","1,679.24","1,604.92"
2001- 07- 27,"1,673.43","1,683.18","1,694.69","1,661.12"
2001- 07- 30,"1,689.21","1,670.03","1,696.34","1,662.67"
2001- 07- 31,"1,678.71","1,683.61","1,715.37","1,665.81"
