,Cash,Stock,Asset,Signal,CAGR,MDD,Accuracy,Precision
2018-01-29,3524,[100],1197024,Hold,28.845048765232086,2.2726745220613838,,
2018-01-30,3524,[100],1182524,Hold,26.53596677398098,2.2726745220613838,,
2018-01-31,3524,[100],1178524,Hold,25.824285421562323,2.2726745220613838,,
2018-02-01,3524,[100],1180024,Hold,25.936978641733965,2.2726745220613838,,
2018-02-02,3524,[100],1174024,Hold,24.939563526936315,2.2726745220613838,,
2018-02-05,3524,[100],1143524,Hold,20.205140372473586,4.469417488705322,,
2018-02-06,3524,[100],1080524,Hold,11.167959597918387,9.732469858582618,,
2018-02-07,3524,[100],1123524,Hold,17.1898899090408,9.732469858582618,,
2018-02-08,3524,[100],1115524,Hold,15.990672834169972,9.732469858582618,,
2018-02-09,3524,[100],1086524,Hold,11.87159411861527,9.732469858582618,,
2018-02-12,3524,[100],1097524,Hold,13.248746736441497,9.732469858582618,,
2018-02-13,3524,[100],1105024,Hold,14.228949743373809,9.732469858582618,,
2018-02-14,3524,[100],1114524,Hold,15.478333939412426,9.732469858582618,,
2018-02-19,3524,[100],1142024,Hold,18.900527965745283,9.732469858582618,,
2018-02-20,3524,[100],1138524,Hold,18.35447821785745,9.732469858582618,,
2018-02-21,3524,[100],1132024,Hold,17.41045223650135,9.732469858582618,,
2018-02-22,3524,[100],1117524,Hold,15.408929211748523,9.732469858582618,,
2018-02-23,3524,[100],1128024,Hold,16.745492035818565,9.732469858582618,,
2018-02-26,3524,[100],1146524,Hold,18.993194775870915,9.732469858582618,,
2018-02-27,3524,[100],1159524,Hold,20.63286586529891,9.732469858582618,,
2018-02-28,3524,[100],1142524,Hold,18.32663451111074,9.732469858582618,,
2018-03-02,3524,[100],1115524,Hold,14.697141692071813,9.732469858582618,,
2018-03-05,3524,[100],1114524,Hold,14.409308556378386,9.732469858582618,,
2018-03-06,3524,[100],1134524,Hold,16.901564987938045,9.732469858582618,,
2018-03-07,3524,[100],1122524,Hold,15.317878665055984,9.732469858582618,,
2018-03-08,3524,[100],1136024,Hold,16.968473220615078,9.732469858582618,,
2018-03-09,3524,[100],1140524,Hold,17.47442925407725,9.732469858582618,,
2018-03-12,3524,[100],1161524,Hold,19.909827794078417,9.732469858582618,,
2018-03-13,3524,[100],1158024,Hold,19.4014591233425,9.732469858582618,,
2018-03-14,3524,[100],1147024,Hold,17.96746814657244,9.732469858582618,,
2018-03-15,3524,[100],1146024,Hold,17.779958913067716,9.732469858582618,,
2018-03-16,3524,[100],1147024,Hold,17.839715784889165,9.732469858582618,,
2018-03-19,3524,[100],1143524,Hold,17.22613425927113,9.732469858582618,,
2018-03-20,3524,[100],1135024,Hold,16.137800433870385,9.732469858582618,,
2018-03-21,3524,[100],1129524,Hold,15.419753417827774,9.732469858582618,,
2018-03-22,3524,[100],1133524,Hold,15.846178769376461,9.732469858582618,,
2018-03-23,3524,[100],1094524,Hold,11.144649129176031,9.732469858582618,,
2018-03-26,3524,[100],1095024,Hold,11.091634889906654,9.732469858582618,,
2018-03-27,3524,[100],1112524,Hold,13.107206086210033,9.732469858582618,,
2018-03-28,3524,[100],1090524,Hold,10.4927893849879,9.732469858582618,,
2018-03-29,3524,[100],1088024,Hold,10.167525778092257,9.732469858582618,,
2018-03-30,3524,[100],1101524,Hold,11.699060409894546,9.732469858582618,,
2018-04-02,3524,[100],1098524,Hold,11.239562483402409,9.732469858582618,,
2018-04-03,3524,[100],1077024,Hold,8.746597700704095,10.024861656909135,,
2018-04-04,3524,[100],1080024,Hold,9.059669420283821,10.024861656909135,,
2018-04-05,3524,[100],1106524,Hold,12.039562087732092,10.024861656909135,,
2018-04-06,3524,[100],1094024,Hold,10.584868435842454,10.024861656909135,,
2018-04-09,3524,[100],1093524,Hold,10.427441620573518,10.024861656909135,,
2018-04-10,3524,[100],1099524,Hold,11.064409084757898,10.024861656909135,,
2018-04-11,3524,[100],1099024,Hold,10.97352823253297,10.024861656909135,,
2018-04-12,3524,[100],1096524,Hold,10.661320567104514,10.024861656909135,,
2018-04-13,3524,[100],1108024,Hold,11.90002111092776,10.024861656909135,,
2018-04-16,3524,[100],1106524,Hold,11.623356359485083,10.024861656909135,,
2018-04-17,3524,[100],1118524,Hold,12.898209340903776,10.024861656909135,,
2018-04-18,3524,[100],1128524,Hold,13.947670009214264,10.024861656909135,,
2018-04-19,3524,[100],1129524,Hold,14.01246682841788,10.024861656909135,,
2018-04-20,3524,[100],1122024,Hold,13.156309527642819,10.024861656909135,,
2018-04-23,3524,[100],1116524,Hold,12.444525868087464,10.024861656909135,,
2018-04-24,3524,[100],1109524,Hold,11.658589899221749,10.024861656909135,,
