종목,현재가,고가,저가,변동,변동 %,거래량,시간
마틴 마리에타,332.84,340.89,330.00,+5.27,+1.61%,358.89K,14/05
매치 그룹,77.51,78.29,74.51,+4.03,+5.48%,2.88M,14/05
맥도날드,245.04,247.18,242.28,+0.85,+0.35%,3.25M,14/05
맥케슨,324.24,326.27,319.23,+2.23,+0.69%,851.38K,14/05
맥코믹,100.27,100.28,97.61,+2.40,+2.45%,943.91K,14/05
머크앤드컴퍼니,90.41,91.05,89.26,-0.42,-0.46%,10.10M,14/05
메드트로닉,102.67,103.03,101.80,+1.56,+1.54%,3.50M,14/05
메리어트인터내셔널,166.40,167.48,163.75,+3.36,+2.06%,2.77M,14/05
메타,198.62,199.89,191.28,+7.38,+3.86%,24.11M,14/05
메트라이프,63.42,64.03,62.82,+0.51,+0.81%,4.44M,14/05
메틀러-토레도 인터내셔널,"1,255.11","1,274.46","1,227.44",+41.99,+3.46%,126.78K,14/05
모건 스탠리,80.54,81.50,79.47,+1.95,+2.48%,7.86M,14/05
모놀리틱 파워,431.67,434.63,398.00,+43.25,+11.13%,492.54K,14/05
모더나,137.91,141.65,132.31,+7.74,+5.95%,6.49M,14/05
모자이크,62.29,63.44,61.00,+3.55,+6.04%,5.34M,14/05
모토롤라,215.29,216.64,206.98,+13.75,+6.82%,1.86M,14/05
모호크 인더스트리스,139.38,140.32,136.96,+0.49,+0.35%,771.11K,14/05
몬델리즈 인터내셔널,66.38,66.46,65.36,+0.70,+1.07%,7.40M,14/05
몬스터 베버리지,88.89,89.15,85.86,+3.21,+3.75%,3.02M,14/05
몰슨 쿠어스 양조,55.93,56.47,55.55,+0.36,+0.65%,1.25M,14/05
미드아메리카 아파트,179.76,179.81,175.65,+2.41,+1.36%,553.03K,14/05
바이오젠,199.11,200.27,196.24,+4.79,+2.46%,1.07M,14/05
박스터 인터내셔널,73.03,73.50,72.58,+0.38,+0.52%,2.07M,14/05
발레로 에너지,124.70,125.32,122.08,+4.29,+3.56%,3.79M,14/05
배스&바디웍스,51.01,51.58,49.20,+2.47,+5.09%,3.70M,14/05
뱅크오브뉴욕 멜론,43.46,43.81,42.93,+0.65,+1.52%,4.21M,14/05
뱅크오브아메리카,35.17,35.73,34.76,+0.10,+0.29%,48.78M,14/05
버라이즌 커뮤니케이션,48.18,48.45,47.61,+0.12,+0.25%,20.67M,14/05
버크셔 해서웨이 B,310.36,312.47,307.90,+2.30,+0.75%,3.66M,14/05
버텍스 파마슈티컬,246.72,247.54,240.25,+5.87,+2.44%,1.35M,14/05
벌칸 머티리얼,168.02,170.89,165.68,+2.91,+1.76%,1.02M,14/05
베리사인,165.11,168.61,164.48,+0.70,+0.43%,1.64M,14/05
베리스크 어낼리틱스,176.21,176.63,171.42,+2.55,+1.47%,1.89M,14/05
베스트바이,86.36,88.32,85.09,-1.00,-1.14%,3.07M,14/05
벡톤 디킨슨,248.44,251.31,245.93,-1.28,-0.51%,1.19M,14/05
벤타스,55.01,55.07,53.31,+1.42,+2.65%,2.27M,14/05
보그워너,38.40,38.56,37.19,+1.73,+4.72%,2.24M,14/05
보나도,34.64,34.79,34.18,+0.39,+1.14%,1.38M,14/05
보스턴사이언티픽,39.66,39.92,39.12,+0.87,+2.24%,7.24M,14/05
보스턴프로퍼티즈,112.71,113.14,110.65,+1.61,+1.45%,994.74K,14/05
보잉,127.20,130.80,122.38,+4.06,+3.30%,20.82M,14/05
볼 코퍼레이션,69.75,71.50,68.85,+0.49,+0.71%,6.35M,14/05
부킹홀딩스,"2,101.89","2,124.99","2,072.21",+48.84,+2.38%,301.85K,14/05
브라운 포먼,66.80,66.88,65.39,+1.60,+2.45%,581.81K,14/05
브로드리지,139.34,140.35,137.38,+2.93,+2.15%,530.45K,14/05
브로드컴,588.24,591.59,573.50,+16.67,+2.92%,1.94M,14/05
브리스톨 마이어스 스퀴브,75.80,76.59,75.52,-0.50,-0.66%,12.90M,14/05
블랙록,615.33,623.40,603.09,+14.93,+2.49%,1.56M,14/05
비아트리스,11.08,11.15,10.79,+0.23,+2.12%,10.96M,14/05
비자(V),199.23,200.54,196.50,+5.26,+2.71%,6.68M,14/05
사우스웨스트 에어라인,42.99,43.32,42.55,+0.66,+1.56%,5.06M,14/05
사이먼 프로퍼티,116.78,117.68,115.18,+1.16,+1.00%,2.65M,14/05
서너,94.21,94.24,93.90,+0.01,+0.01%,2.55M,14/05
서던 컴퍼니,73.65,74.03,72.67,+0.25,+0.34%,5.01M,14/05
서비스나우,452.65,459.69,436.34,+19.71,+4.55%,2.09M,14/05
세리디안 HCM 홀딩,56.40,57.12,53.02,+4.47,+8.61%,2.40M,14/05
세일즈포스닷컴,166.91,168.68,162.01,+6.49,+4.05%,6.18M,14/05
센터포인트 에너지,31.03,31.05,30.41,+0.64,+2.11%,3.80M,14/05
센텐,82.32,82.79,81.00,+1.09,+1.34%,2.57M,14/05
셀라니즈,142.52,143.59,140.12,+3.50,+2.52%,1.03M,14/05
셈프라 에너지,161.06,161.59,157.94,+3.10,+1.96%,1.22M,14/05
셔윈 윌리엄스,273.33,277.91,270.49,-1.21,-0.44%,1.50M,14/05
셰브론,167.87,168.79,164.88,+3.16,+1.92%,9.20M,14/05
솔라엣지,232.25,236.64,220.33,+20.33,+9.59%,1.15M,14/05
슐럼버거,40.74,40.83,39.57,+1.71,+4.38%,9.67M,14/05
